Geo Dist,Bldg Enroll,Target Bldg Cap
8,598420,751883
19,440883,602133
9,584893,696434
13,328860,434046
29,332483,394378
14,317304,430375
3,433851,550179
17,419668,602205
7,407732,494864
27,651835,745969
18,295873,478199
20,426391,353064
25,361593,311168
6,375267,463223
5,283944,359620
28,459590,467503
2,1184940,1401326
11,653917,739174
21,482828,519639
31,823788,833256
23,181866,259438
26,358547,307884
24,616954,580724
32,191128,296213
30,489217,502546
22,329487,348810
15,413943,440176
16,149755,314511
12,419442,516154
10,928809,1053357
1,207735,276851
4,274987,325302
